Latitudine,Longitudine
39.4250999,-0.3151511
39.4458604,-0.3269695
39.4458081,-0.3270167
39.4457558,-0.3270647
39.4250833,-0.3150439
39.4456906,-0.3271318
39.4250253,-0.3149151
39.4249922,-0.3147971
39.4456295,-0.3271908
39.4249383,-0.3146683
39.4249051,-0.3145289
39.4455772,-0.3272398
39.4248471,-0.3143894
39.4455218,-0.3272917
39.4248099,-0.3142699
39.4247643,-0.3141573
39.4454642,-0.327345
39.4247229,-0.3140231
39.4246773,-0.3139051
39.4246151,-0.3137764
39.424582,-0.3136745
39.4245447,-0.3136101
39.4245074,-0.3135028
39.4244577,-0.313417
39.4454095,-0.3273987
39.4244079,-0.3133526
39.4453538,-0.3274506
39.4243665,-0.3132668
39.4243168,-0.3131648
39.445293,-0.3275116
39.4242588,-0.313079
39.4452309,-0.327573
39.4242256,-0.3129771
39.4241427,-0.3128913
39.4451636,-0.327641
39.4451007,-0.327705
39.4240723,-0.3128162
39.4239687,-0.3128376
39.4450448,-0.3277617
39.4449933,-0.3278153
39.4240028,-0.3132711
39.4449384,-0.3278706
39.4448835,-0.3279255
39.4448262,-0.3279832
39.4447973,-0.3280119
39.4447157,-0.3280934
39.4446634,-0.3281474
39.4239022,-0.3128792
39.4446059,-0.3282101
39.4445479,-0.3282637
39.4444951,-0.3283214
39.4233705,-0.3131483
39.4444382,-0.3283724
39.4443901,-0.3284187
39.4443424,-0.328463
39.4236378,-0.3128909
39.4442917,-0.3285193
39.4442388,-0.3285662
39.4441875,-0.3286172
39.4441102,-0.3287392
39.4440718,-0.328817
39.4440384,-0.3288962
39.4439879,-0.3289806
39.4439281,-0.3290741
39.4333413,-0.3311477
39.4438582,-0.3291445
39.4335443,-0.3310458
39.4337515,-0.3309331
39.4437903,-0.3291902
39.4339214,-0.3308312
39.4437361,-0.3292214
39.4341368,-0.3307239
39.4343357,-0.3306166
39.4436727,-0.3292625
39.4345346,-0.3304986
39.4436101,-0.3292944
39.4346899,-0.3304201
39.4346311,-0.3302467
39.434597,-0.3301365
39.4345657,-0.3300346
39.4435443,-0.3292997
39.4345318,-0.3299377
39.4434892,-0.3292508
39.4344976,-0.3298318
39.4344714,-0.3297466
39.4434527,-0.3291897
39.4344427,-0.3296644
39.4344165,-0.3295857
39.4434289,-0.3291092
39.4343888,-0.3295029
39.4433988,-0.3290543
39.4343127,-0.3292728
39.4433714,-0.3289929
39.4342839,-0.3291936
39.4342544,-0.3291065
39.4342324,-0.329022
39.4433304,-0.3289188
39.443295,-0.32884
39.4432559,-0.3287794
39.4432155,-0.3287247
39.4431772,-0.3286801
39.4431329,-0.3286365
39.443078,-0.3285842
39.443028,-0.3285366
39.4342022,-0.328935
39.4341817,-0.3288622
39.4341567,-0.3287878
39.4341346,-0.3287127
39.4341147,-0.3286681
39.4340973,-0.3286077
39.4429711,-0.3284843
39.4340704,-0.3285303
39.442919,-0.3284467
39.4340414,-0.3284552
39.4340207,-0.3283821
39.442868,-0.3284041
39.434,-0.3283124
39.4339813,-0.328248
39.4339528,-0.3281726
39.4428095,-0.3283573
39.4427525,-0.3283129
39.4339275,-0.3280925
39.4426987,-0.3282778
39.4339026,-0.3280254
39.4338764,-0.3279326
39.4426329,-0.3282385
39.4338508,-0.3278537
39.4338283,-0.327774
39.4425848,-0.3282027
39.4338011,-0.3276955
39.4337672,-0.3275943
39.4425402,-0.3281584
39.433741,-0.3275104
39.43371,-0.3274139
39.4424791,-0.3281061
39.4336851,-0.3273441
39.4336602,-0.3272583
39.4424325,-0.3280578
39.4336312,-0.3271859
39.4336043,-0.3271054
39.4335794,-0.3270223
39.4423766,-0.3280149
39.4335595,-0.3269411
39.44233,-0.3279425
39.4335292,-0.3268667
39.4335028,-0.3267809
39.4334735,-0.3267018
39.4422798,-0.3279076
39.4334466,-0.3266267
39.4422135,-0.3279023
39.4334275,-0.326556
39.4333986,-0.3264661
39.4333769,-0.326399
39.4421482,-0.3278939
39.4333526,-0.3263236
39.4333235,-0.3262441
39.4332993,-0.3261587
39.4420892,-0.327909
39.4332713,-0.3260729
39.4332488,-0.3260018
39.4420622,-0.3279298
39.4332218,-0.3259226
39.4331949,-0.3258298
39.4420356,-0.3279629
39.4331662,-0.3257426
39.4331372,-0.3256655
39.4419889,-0.3280052
39.4331125,-0.325584
39.4419537,-0.3280253
39.4330862,-0.3254962
39.4330581,-0.325408
39.4419088,-0.3280511
39.4330289,-0.3253239
39.4418668,-0.3280789
39.4329991,-0.3252306
39.4329675,-0.3251317
39.4418288,-0.328097
39.4329328,-0.3250389
39.4329056,-0.3249433
39.4328769,-0.3248548
39.4417826,-0.3281215
39.4328458,-0.3247583
39.4417438,-0.3281443
39.4328148,-0.3246671
39.4327878,-0.3245816
39.4417039,-0.3281665
39.432758,-0.3244986
39.4327342,-0.3244236
39.4416594,-0.3281907
39.4327078,-0.324341
39.4416252,-0.328203
39.4326829,-0.3242664
39.441604,-0.3281625
39.4415859,-0.3281098
39.4326578,-0.3241882
39.4326286,-0.3240966
39.4415644,-0.3280401
39.4325988,-0.3240075
39.4325656,-0.3239116
39.4415383,-0.3279646
39.4325342,-0.3238147
39.4325025,-0.3237185
39.4415186,-0.3278862
39.4324742,-0.3236303
39.4414875,-0.3277923
39.4324425,-0.32353
39.4414699,-0.3277387
39.4324133,-0.3234411
39.4414492,-0.3276716
39.4414305,-0.3276234
39.4323812,-0.3233496
39.4323496,-0.3232457
39.4414005,-0.3275214
39.4323165,-0.3231465
39.4322854,-0.3230502
39.4414499,-0.3274919
39.4322592,-0.322966
39.4322328,-0.3228843
39.4322033,-0.3227951
39.4321728,-0.3227065
39.4321453,-0.3226154
39.4321163,-0.3225245
39.4320831,-0.3224289
39.4320544,-0.3223357
39.441493,-0.3274658
39.4320288,-0.3222543
39.4319956,-0.3221638
39.4319638,-0.3220539
39.4319336,-0.3219668
39.4319058,-0.3218802
39.4318786,-0.3217863
39.4318429,-0.3216803
39.4318093,-0.3215741
39.4317672,-0.3214464
39.4317301,-0.3213255
39.4316835,-0.3211864
39.431637,-0.3210388
39.4315892,-0.3208957
39.4315511,-0.3207787
39.4315092,-0.3206556
39.4314693,-0.320531
39.4314312,-0.3204182
39.4313944,-0.3203049
39.4313572,-0.3201933
39.4313206,-0.3200726
39.4312803,-0.319956
39.4312504,-0.3198664
39.4312095,-0.3197434
39.4311653,-0.3196187
39.431128,-0.3195087
39.4310961,-0.3193909
39.4310565,-0.319273
39.4310248,-0.3191739
39.4309772,-0.3190478
39.430941,-0.3189276
39.4309037,-0.3188123
39.4308726,-0.3187023
39.4308415,-0.3186057
39.4308063,-0.3184984
39.4307669,-0.3183965
39.4307312,-0.3182866
39.4307006,-0.3182141
39.4306576,-0.3180669
39.4306016,-0.3179159
39.430557,-0.3177818
39.4305114,-0.3176611
39.4304617,-0.3175135
39.4304286,-0.3173875
39.4303706,-0.3172373
39.4303188,-0.3170683
39.4302545,-0.3169315
39.4301986,-0.3167598
39.4301365,-0.3165614
39.4300639,-0.3163575
39.430008,-0.316151
39.4299431,-0.3159557
39.4298933,-0.3158269
39.4298498,-0.3156687
39.4297918,-0.3154621
39.4297235,-0.3152744
39.4296737,-0.3151376
39.4295665,-0.31509
39.4450558,-0.3285541
39.4295003,-0.3151383
39.4451004,-0.3284964
39.4294008,-0.3151946
39.4451522,-0.3284548
39.4452257,-0.3284401
39.4293014,-0.3152456
39.4453003,-0.3284173
39.4292081,-0.3153046
39.4290942,-0.3153582
39.4453676,-0.3283247
39.4454154,-0.32825
39.4290051,-0.3154092
39.4454722,-0.3281826
39.4289202,-0.3154655
39.4455271,-0.3281088
39.4288104,-0.3155219
39.4455768,-0.3280471
39.4456317,-0.3279801
39.428655,-0.3156211
39.4456876,-0.3279076
39.4457518,-0.3278245
39.4285555,-0.3156586
39.4458119,-0.3277467
39.4284747,-0.3157123
39.4458628,-0.3276831
39.4283546,-0.3157579
39.4459177,-0.327612
39.4287441,-0.3155594
39.4282551,-0.3158169
39.4459788,-0.3275476
39.4281495,-0.3158464
39.4460348,-0.3274832
39.4461021,-0.3274189
39.4280564,-0.3159188
39.4461746,-0.3273612
39.4279777,-0.3159751
39.4462491,-0.3273062
39.4278928,-0.3160234
39.4463216,-0.3272472
39.4277685,-0.3160744
39.4463941,-0.3271989
39.4276561,-0.3161629
39.4464728,-0.3271399
39.4275505,-0.3162112
39.4274469,-0.3162756
39.4273391,-0.3163346
39.4465557,-0.327101
39.4272314,-0.3163936
39.4466489,-0.3270594
39.4270848,-0.3164749
39.4467348,-0.3270313
39.4269563,-0.316542
39.4468239,-0.3270112
39.4268564,-0.3165802
39.4267533,-0.3166305
39.4469171,-0.3269931
39.4470124,-0.326985
39.4471056,-0.326985
39.4471926,-0.3269529
39.4472746,-0.3269309
39.4473585,-0.3269081
39.4474558,-0.3268826
39.4475335,-0.3268625
